UWI,START_DATE,OIL,GAS,WATER
ON231,2008-02-01,46452,47874,3198
TR811,2008-02-01,58120,46542,559
TR724,2008-02-01,49849,31584,831
AB295,2008-02-01,84270,53775,63
RK450,2008-02-01,60203,44414,200
CC310,2008-02-01,33780,29393,4674
DS441,2008-02-01,29455,16289,2
RK403,2008-02-01,49957,26646,12165
DS378,2008-02-01,73762,64072,134
DS150,2008-02-01,26068,14041,0
AB460,2008-02-01,44248,25496,0
DS773,2008-02-01,47597,63839,49
RK514,2008-02-01,54598,33862,3173
RK301,2008-02-01,39460,31588,429
DS105,2008-02-01,7169,8413,219
RK318,2008-02-01,81247,36677,7437
BR554,2008-02-01,25484,7433,8488
TF846,2008-02-01,23120,16815,33
TR694,2008-02-01,37741,17564,908
CC649,2008-02-01,18204,12430,2576
ON120,2008-02-01,104799,58231,0
CC479,2008-02-01,37273,21493,145
TR855,2008-02-01,26255,16177,198
YP737,2008-02-01,31124,26772,79
BR836,2008-02-01,38636,17527,514
DS150,2008-02-01,34715,17678,3098
BR273,2008-02-01,33458,22150,95
DS241,2008-02-01,45387,21495,96
AB513,2008-02-01,19689,9323,487
DS684,2008-02-01,29289,21056,31
BR254,2008-02-01,57659,32765,0
TR129,2008-02-01,6006,600,0
RK738,2008-02-01,32084,26916,0
TF770,2008-02-01,34516,21057,161
DS263,2008-02-01,28970,13931,0
TR455,2008-02-01,52208,34765,1458
DS684,2008-02-01,19960,17626,0
BR763,2008-02-01,28264,15406,25
TF611,2008-02-01,38912,39612,44
ON848,2008-02-01,59091,48950,0
YP181,2008-02-01,20822,7257,3651
AB559,2008-02-01,26667,13335,262
AB590,2008-02-01,10067,5800,224
ON798,2008-02-01,28409,18285,58
RK794,2008-02-01,19371,3550,814
TF177,2008-02-01,41009,19789,132
CC872,2008-02-01,27436,23077,0
AB838,2008-02-01,65294,70610,0
AB517,2008-02-01,61571,59761,137
AB540,2008-02-01,22831,16016,1550
TR729,2008-02-01,38619,11985,36
YP655,2008-02-01,76895,58305,143
YP552,2008-02-01,29115,8567,23
YP534,2008-02-01,23079,11245,2436
AB295,2008-02-01,75026,62201,0
YP412,2008-02-01,35470,20901,0
TF642,2008-02-01,33878,20135,849
YP373,2008-02-01,35258,33119,1369
ON506,2008-02-01,50531,42480,3103
CC649,2008-02-01,43212,26947,41
ON469,2008-02-01,32439,13200,81
ON663,2008-02-01,24439,15219,19
RK113,2008-03-01,28009,17991,3889
YP174,2008-03-01,663,474,33
ON506,2008-03-01,56958,60756,2128
AB119,2008-03-01,32903,22893,561
TF177,2008-03-01,44975,24979,223
AB540,2008-03-01,17363,5796,462
CC646,2008-03-01,22027,17679,4601
DS105,2008-03-01,11303,16089,463
TR455,2008-03-01,25582,16321,47
DS780,2008-03-01,69920,58160,2138
CC653,2008-03-01,19167,17034,37564
ON804,2008-03-01,75804,45334,4829
BR772,2008-03-01,63295,34889,227
AB560,2008-03-01,42918,39037,0
DS496,2008-03-01,50068,34722,14997
YP229,2008-03-01,33623,14710,246
ON820,2008-03-01,42842,22364,9581
YP471,2008-03-01,30180,18741,0
TF277,2008-03-01,57358,44119,7262
TF695,2008-03-01,58650,43219,7591
DS263,2008-03-01,35761,15598,296
DS684,2008-03-01,62165,32486,133
TR129,2008-03-01,35174,24114,569
CC627,2008-03-01,16132,13316,548
ON663,2008-03-01,28916,18245,28
YP768,2008-03-01,19684,10350,7750
RK403,2008-03-01,56742,40383,16434
YP693,2008-03-01,49447,21388,7015
TF339,2008-03-01,55759,53622,118
ON765,2008-03-01,56392,37901,0
ON663,2008-03-01,26928,21148,865
RK301,2008-03-01,46092,36590,36
TF172,2008-03-01,39784,24820,467
AB323,2008-03-01,42604,27727,0
ON308,2008-03-01,49379,26044,138
ON829,2008-03-01,37909,22543,39
BR554,2008-03-01,12080,3061,14506
TR336,2008-03-01,47674,31435,4907
DS378,2008-03-01,78482,90580,1460
YP552,2008-03-01,35300,10453,38
BR273,2008-03-01,31958,28798,77
ON231,2008-03-01,55725,45439,4394
AB456,2008-03-01,43931,43643,1956
TR516,2008-03-01,48733,20338,0
AB824,2008-03-01,41383,18269,139
TF846,2008-03-01,2608,1421,340
ON231,2008-03-01,66321,46233,12841
YP534,2008-03-01,22520,12316,6349
YP549,2008-03-01,71168,62428,4368
DS773,2008-03-01,54124,47887,479
AB119,2008-03-01,63765,55156,2063
CC142,2008-03-01,39002,16049,73
TF149,2008-03-01,57398,36701,2677
RK450,2008-03-01,82760,62418,361
DS241,2008-03-01,55998,50584,204
CC636,2008-03-01,72111,45038,5573
TF719,2008-03-01,66464,47252,3547
YP412,2008-03-01,30293,25386,0
YP737,2008-03-01,39416,21322,104
DS720,2008-03-01,8788,3091,8803
RK114,2008-03-01,46622,28132,11240
RK361,2008-03-01,23394,10449,22514
CC669,2008-03-01,39640,29040,102
TR724,2008-03-01,60561,40244,911
TR843,2008-03-01,26152,22657,4405
ON469,2008-03-01,43414,14836,114
DS607,2008-03-01,17406,14143,533
AB590,2008-03-01,25053,25059,0
DS698,2008-03-01,25451,21637,4141
AB513,2008-03-01,19976,8472,404
TF267,2008-03-01,61492,62129,5395
AB424,2008-03-01,26691,11539,464
DS780,2008-03-01,78705,35931,2025
BR273,2008-03-01,71708,51798,14693
RK854,2008-03-01,38169,15128,3968
AB517,2008-03-01,82186,81595,51
CC649,2008-03-01,25506,16561,1482
ON602,2008-03-01,48269,28873,780
ON442,2008-03-01,41864,29563,4
BR763,2008-03-01,34198,21868,385
AB735,2008-03-01,35657,30628,7844
BR832,2008-03-01,46460,43895,52
TF143,2008-03-01,38908,18906,1236
TR382,2008-03-01,27244,18449,5807
RK128,2008-03-01,30747,13832,7196
CC504,2008-03-01,61989,30937,4206
YP467,2008-03-01,24285,14205,4779
RK450,2008-03-01,22273,9982,291
TF850,2008-03-01,28548,9701,585
TF222,2008-03-01,5776,1607,235
YP166,2008-03-01,34560,19451,414
RK794,2008-03-01,21143,2544,891
RK789,2008-03-01,37236,26866,0
CC782,2008-03-01,19530,11787,0
DS378,2008-03-01,51612,45688,3075
ON333,2008-03-01,92264,56826,4724
DS558,2008-03-01,25069,17483,769
TF407,2008-03-01,50992,38854,889
ON804,2008-03-01,79892,42620,1190
BR554,2008-03-01,21346,9453,10370
RK302,2008-03-01,37853,19633,81
DS884,2008-03-01,21783,14174,2632
TF740,2008-03-01,36030,18721,602
BR264,2008-03-01,58354,48816,1361
ON829,2008-03-01,39589,23433,634
AB838,2008-03-01,78229,57355,0
TF770,2008-03-01,51984,23808,5108
DS698,2008-03-01,18071,11662,1261
ON798,2008-03-01,24331,15410,0
TF719,2008-03-01,34267,20723,932
BR836,2008-03-01,37877,21906,704
TR129,2008-03-01,13785,5044,43
CC627,2008-03-01,9926,6324,566
TF695,2008-03-01,19388,14153,1783
CC865,2008-03-01,53575,32939,27760
DS689,2008-03-01,33213,29922,2709
TF533,2008-03-01,67196,42719,1618
ON333,2008-03-01,38702,29396,302
AB540,2008-03-01,21187,6812,122
ON848,2008-03-01,49018,58012,75
RK302,2008-03-01,38617,21230,100
TR400,2008-03-01,37404,17242,1751
YP203,2008-03-01,5731,2063,228
CC142,2008-03-01,94077,55821,4834
DS234,2008-03-01,23613,13932,6311
YP373,2008-03-01,33777,58672,1267
TF696,2008-03-01,65092,41504,4163
CC310,2008-03-01,36577,33177,4811
AB295,2008-03-01,93042,47881,75
ON506,2008-03-01,49965,54968,3004
YP203,2008-03-01,64199,43255,72
DS887,2008-03-01,97466,50883,9493
YP549,2008-03-01,32545,16246,138
YP174,2008-03-01,1127,596,27
YP655,2008-03-01,70226,50369,0
TF410,2008-03-01,36692,16419,70
BR312,2008-03-01,19397,21317,50296
TF222,2008-03-01,5783,5534,543
DS775,2008-03-01,56187,30094,0
BR710,2008-03-01,41613,22612,54
TF149,2008-03-01,48180,43140,6218
RK738,2008-03-01,28437,24010,0
YP821,2008-03-01,34588,18835,0
RK318,2008-03-01,79995,39828,10176
TR418,2008-03-01,76336,50562,0
CC479,2008-03-01,30921,25974,8
CC649,2008-03-01,21690,15419,86
CC883,2008-03-01,11545,8960,3074
DS161,2008-03-01,46099,41796,837
DS161,2008-03-01,69115,63957,26534
YP181,2008-03-01,17597,6934,4432
TR729,2008-03-01,41780,18359,41
TR444,2008-03-01,25839,12315,815
ON316,2008-03-01,45268,25507,25
TR753,2008-03-01,34591,21659,4837
BR254,2008-03-01,54790,43700,0
BR264,2008-03-01,67925,63702,0
AB388,2008-03-01,57436,60832,15747
DS652,2008-03-01,81934,63526,2377
CC872,2008-03-01,24131,30939,0
RK514,2008-03-01,49606,32751,3121
RK453,2008-03-01,40162,26316,124
CC504,2008-03-01,63529,45558,954
BR159,2008-03-01,22794,14359,867
YP166,2008-03-01,87411,54797,7726
TF277,2008-03-01,33749,17958,537
ON236,2008-03-01,31254,17777,790
CC782,2008-03-01,52817,42006,1516
YP373,2008-03-01,29131,38429,360
CC464,2008-03-01,39493,22812,33592
TR455,2008-03-01,63358,52165,63
BR477,2008-03-01,37508,21410,860
DS773,2008-03-01,67459,81853,213
TF611,2008-03-01,35431,33398,216
DS684,2008-03-01,27292,22601,0
RK747,2008-03-01,35860,23767,1769
DS241,2008-03-01,52866,22885,99
DS150,2008-03-01,39628,19255,0
ON120,2008-03-01,87242,52812,463
TR797,2008-03-01,62853,51662,0
RK301,2008-03-01,74968,70643,856
YP676,2008-03-01,30022,47438,75079
CC482,2008-03-01,28591,16039,1647
ON848,2008-03-01,68912,40452,1505
TF642,2008-03-01,8065,4575,198
DS546,2008-03-01,32466,17570,51
CC565,2008-03-01,41891,23414,2221
AB344,2008-03-01,37534,37854,1322
AB295,2008-03-01,97674,51621,0
RK171,2008-03-01,31103,25039,959
YP714,2008-03-01,52705,32195,0
YP468,2008-03-01,24291,12524,28
YP220,2008-03-01,33430,34770,1046
YP861,2008-03-01,51480,20968,1816
TR694,2008-03-01,41046,21487,835
TF585,2008-03-01,41648,24182,44
TF381,2008-03-01,9529,3049,534
RK375,2008-03-01,26450,16879,246
BR430,2008-03-01,29436,23746,0
DS441,2008-03-01,30545,26954,0
