UWI,START_DATE,OIL,GAS,WATER
CC504,1975-03-01,277649,276000,0
RK403,1975-03-01,227806,161710,0
BR819,1975-03-01,524316,299920,0
TR791,1975-03-01,85565,71190,0
BR312,1975-03-01,232627,141050,0
YP676,1975-03-01,201375,235980,0
YP181,1975-03-01,504127,336000,0
AB494,1975-03-01,420157,360720,0
ON369,1975-03-01,279119,209440,0
AB742,1975-03-01,454557,383180,0
ON394,1975-03-01,277130,195750,0
BR710,1975-03-01,206630,251340,0
CC482,1975-03-01,487431,291090,0
BR704,1975-03-01,133009,89600,0
DS241,1975-03-01,437935,402930,0
CC529,1975-04-01,17485,11280,0
CC636,1975-04-01,22820,25200,0
AB742,1975-04-01,164335,102000,0
ON397,1975-04-01,67436,42330,0
YP570,1975-04-01,256827,210790,0
TF335,1975-04-01,605495,497140,0
DS698,1975-04-01,313092,159030,0
CC504,1975-04-01,515744,461680,0
TF695,1975-04-01,487873,499422,0
RK345,1975-04-01,619465,408330,0
YP181,1975-04-01,547512,413910,0
BR312,1975-04-01,353286,268400,0
AB494,1975-04-01,953213,545400,0
BR710,1975-04-01,617970,567260,0
TF740,1975-04-01,17382,8400,0
TF740,1975-04-01,21513,11760,0
ON369,1975-04-01,78321,55460,0
BR819,1975-04-01,465662,318420,0
TR758,1975-04-01,182256,151410,0
BR704,1975-04-01,508558,425920,0
AB257,1975-04-01,139018,123600,0
YP676,1975-04-01,333030,255200,0
TF267,1975-04-01,201198,153440,0
CC482,1975-04-01,558253,572130,0
AB494,1975-05-01,545626,554830,0
TF267,1975-05-01,463684,369600,0
RK345,1975-05-01,529388,299250,0
CC482,1975-05-01,645794,352110,0
TF740,1975-05-01,374130,245100,0
BR704,1975-05-01,665016,523250,0
TF740,1975-05-01,327500,256680,0
YP181,1975-05-01,437409,338200,0
CC636,1975-05-01,612217,388720,0
ON369,1975-05-01,119312,92220,0
TF359,1975-05-01,127268,80910,0
AB257,1975-05-01,120470,86240,0
RK289,1975-05-01,8792,7040,0
BR312,1975-05-01,318541,187200,0
BR710,1975-05-01,413796,401380,0
CC782,1975-05-01,342688,167400,0
AB742,1975-05-01,125069,115430,0
YP676,1975-05-01,421917,314170,0
BR819,1975-05-01,441079,358450,0
YP570,1975-05-01,235363,188680,0
ON397,1975-05-01,386682,294930,0
TR758,1975-05-01,555552,376290,0
TF335,1975-05-01,590482,442900,0
DS698,1975-05-01,284230,146160,0
TF695,1975-05-01,485594,266885,0
DS241,1975-05-01,47886,26700,0
CC504,1975-05-01,182643,109350,0
TR758,1975-06-01,713952,478800,0
ON397,1975-06-01,400364,326000,0
TF740,1975-06-01,217540,195490,0
TF359,1975-06-01,57225,29120,0
ON394,1975-06-01,437394,334000,0
YP181,1975-06-01,770795,408320,0
TR791,1975-06-01,125423,84360,0
CC504,1975-06-01,271506,162240,0
AB494,1975-06-01,364282,253050,0
TF740,1975-06-01,320096,274510,0
BR312,1975-06-01,39234,26750,0
YP570,1975-06-01,225353,137760,0
CC636,1975-06-01,365207,316200,0
DS698,1975-06-01,61333,46800,0
BR704,1975-06-01,601701,345060,0
TF335,1975-06-01,679141,545900,0
TF267,1975-06-01,900968,612700,0
RK345,1975-06-01,478348,264120,0
BR710,1975-06-01,584159,489410,0
TF695,1975-06-01,588172,337610,0
AB257,1975-06-01,46561,39550,0
AB742,1975-06-01,713028,694800,0
DS652,1975-06-01,711639,664890,0
DS241,1975-06-01,46145,34320,0
ON369,1975-06-01,98625,95760,0
RK403,1975-06-01,322111,307360,0
YP676,1975-06-01,526273,607200,0
CC782,1975-06-01,601196,329680,0
CC482,1975-06-01,716931,474600,0
BR819,1975-06-01,420375,401310,0
AB257,1975-07-01,365280,276450,0
TF695,1975-07-01,626417,539419,0
ON394,1975-07-01,486229,414120,0
BR819,1975-07-01,354427,414000,0
RK403,1975-07-01,513420,480690,0
TR758,1975-07-01,525745,654350,0
AB494,1975-07-01,516777,432430,0
DS652,1975-07-01,642930,496000,0
TR791,1975-07-01,301736,276640,0
YP570,1975-07-01,32909,22770,0
DS241,1975-07-01,218263,213440,0
CC782,1975-07-01,166383,152640,0
AB742,1975-07-01,711546,624160,0
CC636,1975-07-01,603559,623840,0
CC482,1975-07-01,586627,561800,0
TF359,1975-07-01,464052,292740,0
YP676,1975-07-01,502548,397580,0
ON369,1975-07-01,329710,333000,0
BR704,1975-07-01,646586,588500,0
DS698,1975-07-01,19375,15680,0
YP181,1975-07-01,694138,517790,0
ON397,1975-07-01,394802,305440,0
BR710,1975-07-01,670116,621600,0
RK345,1975-07-01,500240,382940,0
TF267,1975-07-01,630930,696150,0
TF335,1975-07-01,716694,432960,0
TF740,1975-07-01,519950,501760,0
TF740,1975-07-01,426245,377140,0
CC504,1975-07-01,261523,250800,0
BR704,1975-08-01,680053,629050,0
CC782,1975-08-01,172322,156800,0
RK403,1975-08-01,500816,481080,0
TR758,1975-08-01,682150,598500,0
TF740,1975-08-01,477823,410550,0
DS652,1975-08-01,222432,163350,0
BR710,1975-08-01,269102,259200,0
BR819,1975-08-01,612289,447450,0
TF335,1975-08-01,213585,167480,0
YP676,1975-08-01,706576,558420,0
YP181,1975-08-01,596001,617760,0
TF267,1975-08-01,3077,0,0
CC504,1975-08-01,13234,8900,0
TF267,1975-08-01,153571,172890,0
RK345,1975-08-01,450131,511350,0
TF695,1975-08-01,152281,109275,0
ON394,1975-08-01,405620,372360,0
CC636,1975-08-01,795520,637440,0
ON397,1975-08-01,202096,163400,0
TF740,1975-08-01,600088,458480,0
CC782,1975-08-01,349092,222740,0
AB494,1975-08-01,709779,705510,0
DS241,1975-08-01,365675,372360,0
AB257,1975-08-01,245537,209950,0
DS698,1975-08-01,703274,421600,0
AB742,1975-08-01,970053,734350,0
CC482,1975-08-01,695301,631300,0
TF359,1975-08-01,499510,503240,0
DS698,1975-08-01,162011,143550,0
AB742,1975-09-01,961428,865800,0
BR704,1975-09-01,671963,481280,0
CC782,1975-09-01,132781,140980,0
DS241,1975-09-01,56155,43500,0
BR710,1975-09-01,205799,156520,0
TF335,1975-09-01,444597,374400,0
YP181,1975-09-01,468231,486040,0
DS698,1975-09-01,399365,436320,0
BR312,1975-09-01,57227,49470,0
TF695,1975-09-01,540724,403340,0
RK403,1975-09-01,529653,377150,0
TF359,1975-09-01,726809,631890,0
TF267,1975-09-01,188395,134850,0
AB257,1975-09-01,226099,182000,0
TR758,1975-09-01,541524,499950,0
RK345,1975-09-01,443090,344760,0
DS698,1975-09-01,111054,102900,0
TF267,1975-09-01,608895,0,0
YP676,1975-09-01,749442,578160,0
AB494,1975-09-01,566565,556480,0
TF740,1975-09-01,485697,487350,0
YP570,1975-09-01,247452,156040,0
BR819,1975-09-01,509722,474240,0
DS652,1975-09-01,122412,104880,0
TF740,1975-09-01,124396,136850,0
TF695,1975-09-01,31324,27540,0
ON394,1975-09-01,537626,349430,0
CC482,1975-09-01,609740,431480,0
ON397,1975-09-01,575919,499500,0
CC636,1975-09-01,623645,713730,0
AB742,1975-10-01,744319,681690,0
TF359,1975-10-01,423947,334620,0
AB494,1975-10-01,441581,424080,0
BR819,1975-10-01,491376,390720,0
TF695,1975-10-01,505937,487030,0
TF695,1975-10-01,48834,53530,0
TF267,1975-10-01,246184,190240,0
RK403,1975-10-01,422952,453100,0
TF335,1975-10-01,485179,356720,0
CC782,1975-10-01,171973,113400,0
YP676,1975-10-01,557877,430540,0
YP570,1975-10-01,236035,189660,0
DS698,1975-10-01,45239,43870,0
BR312,1975-10-01,162543,165000,0
TF267,1975-10-01,484964,0,0
ON397,1975-10-01,545457,418320,0
CC482,1975-10-01,197416,181930,0
ON369,1975-10-01,77129,57660,0
BR704,1975-10-01,294344,255430,0
DS241,1975-10-01,66939,54180,0
RK345,1975-10-01,136335,110400,0
CC636,1975-10-01,655451,602770,0
TF740,1975-10-01,492613,418950,0
YP181,1975-10-01,394769,493740,0
TR758,1975-10-01,555336,486720,0
BR710,1975-10-01,143929,103230,0
DS652,1975-10-01,755349,724230,0
AB257,1975-10-01,198436,248040,0
ON394,1975-10-01,480211,400820,0
DS241,1975-11-01,113423,81340,0
BR312,1975-11-01,389,0,0
TF335,1975-11-01,514645,559680,0
DS652,1975-11-01,695338,552450,0
TR758,1975-11-01,552048,522110,0
TF359,1975-11-01,777,0,0
TF695,1975-11-01,80421,51240,0
BR704,1975-11-01,323425,343380,0
AB257,1975-11-01,472217,458280,0
BR710,1975-11-01,431425,515280,0
CC782,1975-11-01,489491,573870,0
TF267,1975-11-01,325538,370890,0
TF740,1975-11-01,588430,586170,0
ON394,1975-11-01,560158,466260,0
TF267,1975-11-01,619674,0,0
BR819,1975-11-01,440043,505020,0
AB742,1975-11-01,551941,446500,0
AB494,1975-11-01,707676,641480,0
TF695,1975-11-01,456783,387000,0
CC636,1975-11-01,477314,368600,0
YP676,1975-11-01,187877,185280,0
RK345,1975-11-01,625917,548730,0
RK403,1975-11-01,578868,617980,0
TF740,1975-11-01,210440,154530,0
CC482,1975-11-01,397639,511700,0
DS698,1975-11-01,436,0,0
ON397,1975-11-01,553013,597840,0
YP181,1975-11-01,528364,508480,0
